"","Name","Team","GS","IP","Pitches","BIP","outs","avg_speed","avg_angle","Contact_pct","BABIP","K_9","BB_9","GB","FB","LD","GB_pct","FB_pct","LD_pct","Soft_pct","Med_pct","Hard_pct","Pull_pct","Cent_pct","Oppo_pct"
"1","Kyle Freeland","COL",10,52.2,873,175,2,92.05,-18.5,79,0.341,7.18,3.25,78,55,42,44.6,31.4,24,20.6,46.9,32.6,40.6,38.3,21.1
"2","Zack Greinke","KCR",10,51.2,882,185,5,89.48,-7.8,85.2,0.296,4.35,1.74,76,70,39,41.1,37.8,21.1,19.4,53.8,26.9,38.7,32.3,29
"3","Cal Quantrill","CLE",9,53.2,838,160,1,85.7,-15,85.4,0.263,5.53,3.19,59,66,35,36.9,41.3,21.9,14.1,55.8,30.1,36.2,35,28.8
"4","Nathan Eovaldi","BOS",11,63.1,979,179,5,83.38,-24.8,75.1,0.262,9.52,1.42,81,70,28,45.3,39.1,15.6,13.3,45.6,41.1,37.8,40,22.2
"5","Tarik Skubal","DET",10,58.2,898,153,6,80.85,-16,76.9,0.288,9.36,1.53,71,50,32,46.4,32.7,20.9,15.5,54.2,30.3,34.8,41.3,23.9
"6","Merrill Kelly","ARI",11,59,957,177,3,78.9,-6.66666666666667,82.4,0.314,7.47,3.66,73,63,41,41.2,35.6,23.2,13.5,58.4,28.1,41,38.2,20.8
"7","Madison Bumgarner","ARI",11,54.1,893,169,3,78.5333333333333,-19.3333333333333,83.3,0.235,6.13,2.98,68,75,26,40.2,44.4,15.4,16.4,46.2,37.4,44.4,32.7,22.8
"8","JT Brubaker","PIT",11,51.2,860,157,6,77.45,-28.6666666666667,74.9,0.289,9.23,4.18,64,66,27,40.8,42,17.2,19.1,47.1,33.8,42.7,29.3,28
"9","Kyle Wright","ATL",10,59.2,912,146,11,76.7222222222222,-40.3636363636364,73.8,0.264,9.96,3.47,77,43,26,52.7,29.5,17.8,15.1,58.9,26,39,45.9,15.1
"10","Jordan Montgomery","NYY",10,53.1,759,156,5,76.34,-32,73.6,0.255,6.92,1.52,72,52,32,46.2,33.3,20.5,17.6,60.4,22,42.8,32.7,24.5
